;Name;Latitude;Longitude;Population;Timezone;same_name
44;Grand Rapids;41.412;-83.86439;999;East Coast;City without UK name
45;Greensburg;40.93172;-81.46484;3306;East Coast;City without UK name
46;Greenwich;41.03005;-82.51573;1429;East Coast;City without UK name
47;Hough;41.512;-81.63652;16359;East Coast;City without UK name
48;Kent;41.15367;-81.35789;29810;East Coast;City without UK name
49;Kirtland Hills;41.62394;-81.30705;641;East Coast;City without UK name
50;Mendon;40.67338;-84.51884;650;East Coast;City without UK name
51;Milford Center;40.17867;-83.43548;823;East Coast;City without UK name
52;Norton;41.02922;-81.63818;12036;East Coast;City with UK name
53;Ottawa Hills;41.66422;-83.64327;4443;East Coast;City without UK name
54;Sandusky;41.44894;-82.70796;25212;East Coast;City without UK name
55;South Canal;41.17728;-80.98676;1100;East Coast;City without UK name
56;Tiffin;41.1145;-83.17797;17687;East Coast;City without UK name
57;Timberlake;41.66588;-81.44317;660;East Coast;City without UK name
58;Valley View;41.38783;-81.60457;2012;East Coast;City without UK name
59;Arnold;40.58007;-79.76672;4988;East Coast;City with UK name
60;Beaver Falls;40.75201;-80.31923;8661;East Coast;City without UK name
61;Bernville;40.43343;-76.11216;951;East Coast;City without UK name
62;Bloomsburg;41.0037;-76.45495;14585;East Coast;City without UK name
63;Brodheadsville;40.92454;-75.39379;1800;East Coast;City without UK name
64;Clearfield;41.02728;-78.43919;6030;East Coast;City without UK name
65;Coaldale;40.82287;-75.90687;2197;East Coast;City without UK name
66;Coopersburg;40.51149;-75.39046;2421;East Coast;City without UK name
67;Crafton;40.43507;-80.06617;5876;East Coast;City without UK name
68;Devon;40.04928;-75.42908;1515;East Coast;City without UK name
69;Evansburg;40.18094;-75.42907;2129;East Coast;City without UK name
70;Galeton;41.73312;-77.64193;1124;East Coast;City without UK name
71;Grill;40.2987;-75.94049;1468;East Coast;City without UK name
72;Hastings;40.66507;-78.71225;1224;East Coast;City with UK name
73;Hatboro;40.17428;-75.10684;7411;East Coast;City without UK name
74;Honey Brook;40.09427;-75.91133;1758;East Coast;City without UK name
75;Hydetown;41.65256;-79.727;517;East Coast;City without UK name
76;Jersey Shore;41.20202;-77.26442;4279;East Coast;City without UK name
77;Knoxville;41.95729;-77.43887;622;East Coast;City without UK name
78;Larksville;41.24508;-75.93075;4448;East Coast;City without UK name
79;Lucerne Mines;40.55896;-79.15115;937;East Coast;City without UK name
80;Mansfield;41.8073;-77.07747;3432;East Coast;City with UK name
81;Mars;40.6959;-80.01173;1658;East Coast;City without UK name
82;McClure;40.70702;-77.31443;942;East Coast;City without UK name
83;Millersburg;40.53953;-76.96081;2536;East Coast;City without UK name
84;Monroeville;40.42118;-79.7881;28176;East Coast;City without UK name
85;Nanty Glo;40.47229;-78.83336;2901;East Coast;City without UK name
86;New Berlin;40.87897;-76.98692;867;East Coast;City without UK name
87;New Berlinville;40.34537;-75.63296;1368;East Coast;City without UK name
88;Noxen;41.42147;-76.05854;633;East Coast;City without UK name
89;Ohioville;40.67923;-80.49479;3473;East Coast;City without UK name
90;Penbrook;40.27537;-76.84803;2974;East Coast;City without UK name
91;Pleasant Hills;40.33563;-79.96061;8252;East Coast;City without UK name
92;Saxonburg;40.75395;-79.81005;1491;East Coast;City without UK name
93;South Pottstown;40.23954;-75.65102;2081;East Coast;City without UK name
94;Stevens;40.2162;-76.15523;612;East Coast;City without UK name
95;Summit Hill;40.82481;-75.87103;2952;East Coast;City without UK name
96;Vandling;41.63314;-75.47046;722;East Coast;City without UK name
97;Warrior Run;41.09731;-76.80552;588;East Coast;City without UK name
98;West Wyoming;41.3198;-75.84603;2703;East Coast;City without UK name
99;Williamstown;40.58009;-76.61774;1375;East Coast;City without UK name
100;Wyndmoor;40.08122;-75.18934;5498;East Coast;City without UK name
101;Harmony;41.88788;-71.59673;985;East Coast;City without UK name
102;Tiverton;41.62594;-71.21338;7557;East Coast;City with UK name
105;Holland;44.96862;-72.00302;610;East Coast;City without UK name
106;Mount Holly;43.45229;-72.82482;1221;East Coast;City without UK name
128;Newell;40.6184;-80.60424;1376;East Coast;City without UK name
129;Wellsburg;40.27201;-80.60952;2704;East Coast;City without UK name
139;Agoura;34.14306;-118.73787;20537;West Coast;City without UK name
140;Alta Sierra;39.14156;-121.05384;6911;West Coast;City without UK name
141;Arcadia;34.13973;-118.03534;58408;West Coast;City without UK name
142;Burlingame;37.5841;-122.36608;30459;West Coast;City without UK name
143;Camino;38.73824;-120.67493;1750;West Coast;City without UK name
144;Canyon Country;34.42333;-118.47203;59530;West Coast;City without UK name
145;Carmel-by-the-Sea;36.55524;-121.92329;3897;West Coast;City without UK name
146;Covelo;39.79327;-123.24922;1255;West Coast;City without UK name
147;Del Mar;32.95949;-117.26531;4351;West Coast;City without UK name
148;El Verano;38.29769;-122.49165;4123;West Coast;City without UK name
149;Elk Grove;38.4088;-121.37162;166913;West Coast;City without UK name
150;Fairmead;37.07633;-120.19295;1447;West Coast;City without UK name
151;Foothill Ranch;33.68641;-117.66088;11698;West Coast;City without UK name
152;Gardena;33.88835;-118.30896;60447;West Coast;City without UK name
153;Hartley;38.41713;-121.94691;2510;West Coast;City with UK name
154;Hesperia;34.42639;-117.30088;93295;West Coast;City without UK name
155;Ivanhoe;36.38717;-119.21789;4495;West Coast;City without UK name
156;La Habra Heights;33.96085;-117.95062;5454;West Coast;City without UK name
157;Laguna Beach;33.54225;-117.78311;23365;West Coast;City without UK name
158;Live Oak;39.27572;-121.65997;8531;West Coast;City without UK name
159;Lone Pine;36.60626;-118.06462;2035;West Coast;City without UK name
160;Lucerne Valley;34.44389;-116.96781;5811;West Coast;City without UK name
161;Mead Valley;33.83335;-117.29615;18510;West Coast;City without UK name
162;Novato;38.10742;-122.5697;55530;West Coast;City without UK name
163;Oakley;37.99742;-121.71245;39813;West Coast;City with UK name
164;Oceano;35.09886;-120.61239;7286;West Coast;City without UK name
165;San Juan Bautista;36.84551;-121.538;1961;West Coast;City without UK name
166;South El Monte;34.05195;-118.04673;20878;West Coast;City without UK name
167;Toro Canyon;34.42;-119.56707;1508;West Coast;City without UK name
168;Truckee;39.32796;-120.18325;16299;West Coast;City without UK name
169;Upper Lake;39.16461;-122.91055;1052;West Coast;City without UK name
170;Valley Acres;35.20608;-119.40678;527;West Coast;City without UK name
171;Watsonville;36.91023;-121.75689;53628;West Coast;City without UK name
172;West Carson;33.82168;-118.29257;21699;West Coast;City without UK name
173;Zayante;37.09189;-122.04357;705;West Coast;City without UK name
190;Laughlin;35.16778;-114.57302;7323;West Coast;City without UK name
191;McGill;39.40494;-114.77863;1148;West Coast;City without UK name
192;Winchester;36.12997;-115.11889;27978;West Coast;City with UK name
198;Wasco;35.59412;-119.34095;26279;West Coast;City without UK name
202;Miranda;40.23459;-123.82365;520;West Coast;City without UK name
203;Westwood;40.306;-121.00579;1647;West Coast;City with UK name
204;Willow Creek;40.93958;-123.63144;1710;West Coast;City without UK name
225;Owyhee;41.94768;-116.09871;953;West Coast;City without UK name
226;Ashland;42.19458;-122.70948;20861;West Coast;City without UK name
227;Bend;44.05817;-121.31531;87014;West Coast;City without UK name
228;Coburg;44.13707;-123.06648;1055;West Coast;City without UK name
229;Foots Creek;42.40484;-123.13894;799;West Coast;City without UK name
230;Glasgow;43.43456;-124.21122;763;West Coast;City with UK name
231;Happy Valley;45.44679;-122.53037;18493;West Coast;City without UK name
232;Lowell;43.91846;-122.78368;1087;West Coast;City without UK name
233;Malin;42.01266;-121.4086;804;West Coast;City without UK name
234;Merlin;42.51734;-123.41979;1615;West Coast;City without UK name
235;Scio;44.70484;-122.84926;882;West Coast;City without UK name
236;Talent;42.24568;-122.78865;6411;West Coast;City without UK name
237;Tigard;45.43123;-122.77149;51253;West Coast;City without UK name
249;Black Diamond;47.30871;-122.00317;4376;West Coast;City without UK name
250;Camas;45.58706;-122.39954;21846;West Coast;City without UK name
251;Cle Elum;47.1954;-120.93925;1901;West Coast;City without UK name
252;Clearview;47.83371;-122.12596;3324;West Coast;City without UK name
253;Cosmopolis;46.95537;-123.77378;1594;West Coast;City without UK name
254;Ellensburg;46.99651;-120.54785;19001;West Coast;City without UK name
255;Fall City;47.56732;-121.88873;1993;West Coast;City without UK name
256;Hansville;47.9187;-122.55431;3091;West Coast;City without UK name
257;Mead;47.76739;-117.35494;7275;West Coast;City without UK name
258;Normandy Park;47.43621;-122.34068;6668;West Coast;City without UK name
259;North Bonneville;45.63734;-121.97119;971;West Coast;City without UK name
260;Odessa;47.3332;-118.69083;871;West Coast;City without UK name
261;Orchards;45.66651;-122.56093;19556;West Coast;City without UK name
262;Pasco;46.23958;-119.10057;69451;West Coast;City without UK name
263;Snohomish;47.91288;-122.09818;9670;West Coast;City without UK name
264;Twisp;48.36348;-120.1223;942;West Coast;City without UK name
265;University Place;47.23565;-122.5504;32842;West Coast;City without UK name
266;Warden;46.96764;-119.03973;2736;West Coast;City with UK name
278;Deep River Center;41.38221;-72.43862;2484;East Coast;City without UK name
279;Bel Air South;39.50506;-76.31977;47709;East Coast;City without UK name
280;Naval Academy;38.98568;-76.48774;4802;East Coast;City without UK name
281;Whittingham;40.32982;-74.44511;2476;East Coast;City with UK name
282;Sandalfoot Cove;26.33863;-80.1869;16582;East Coast;City without UK name
283;Camp Pendleton South;33.22844;-117.37929;10616;West Coast;City without UK name
284;Larkfield-Wikiup;38.51342;-122.75094;8884;West Coast;City without UK name
285;Smith Valley;38.78421;-119.34425;1603;West Coast;City without UK name
287;Meadowbrook;33.72578;-117.28509;3185;West Coast;City without UK name
288;Springwater Hamlet;42.63499;-77.59642;549;East Coast;City without UK name
289;Mowbray Mountain;35.27536;-85.22246;1615;East Coast;City without UK name
290;Tellico Village;35.68321;-84.25518;5791;East Coast;City without UK name
293;Meadowbrook;37.44882;-77.47353;18312;East Coast;City without UK name
294;Toftrees;40.82604;-77.8811;2053;East Coast;City without UK name
296;Twinsburg Heights;41.30602;-81.45952;925;East Coast;City without UK name
369;Morrill;44.44313;-69.14921;805;East Coast;City without UK name
370;Orono;44.88312;-68.67198;9474;East Coast;City without UK name
371;Owls Head;44.0823;-69.05726;1665;East Coast;City without UK name
372;Richmond;44.0873;-69.79893;1760;East Coast;City with UK name
373;Sebec;45.27144;-69.11671;636;East Coast;City without UK name
374;Shapleigh;43.54064;-70.84812;2418;East Coast;City without UK name
375;Smithfield;44.63034;-69.8295;967;East Coast;City without UK name
376;Sullivan;44.52036;-68.19668;1232;East Coast;City without UK name
377;Swanville;44.52119;-68.99781;1411;East Coast;City without UK name
378;Veazie;44.83868;-68.70531;1813;East Coast;City without UK name
379;Verona;44.56535;-68.79031;554;East Coast;City without UK name
427;Colebrook;44.89449;-71.49592;1394;East Coast;City without UK name
428;Concord;43.20814;-71.53757;42620;East Coast;City without UK name
429;Deerfield;44.23062;-71.61703;4315;East Coast;City without UK name
430;Enfield;43.64063;-72.14398;1540;East Coast;City without UK name
431;Merrimack;42.86509;-71.4934;26726;East Coast;City without UK name
432;New Castle;43.07231;-70.71616;1076;East Coast;City without UK name
433;Temple;42.81814;-71.85147;1381;East Coast;City without UK name
434;Unity;43.29396;-72.26037;1630;East Coast;City without UK name
435;Closter;40.97315;-73.96153;8662;East Coast;City without UK name
436;Hightstown;40.26955;-74.52321;5517;East Coast;City without UK name
437;Hoboken;40.74399;-74.03236;53635;East Coast;City without UK name
438;Keansburg;40.44177;-74.12986;9873;East Coast;City without UK name
439;Kingston;40.37538;-74.61349;1493;East Coast;City without UK name
440;Matawan;40.41483;-74.22959;8853;East Coast;City without UK name
441;Maywood;40.9026;-74.06181;9805;East Coast;City without UK name
442;Metuchen;40.54316;-74.3632;13886;East Coast;City without UK name
443;Ogdensburg;41.08176;-74.59238;2286;East Coast;City without UK name
444;South Orange;40.74899;-74.26126;17295;East Coast;City without UK name
4916;Balm;27.75947;-82.2612;1457;East Coast;City without UK name
4917;Bunche Park;25.92065;-80.23699;4080;East Coast;City without UK name
4918;Clewiston;26.75423;-80.93368;7505;East Coast;City without UK name
4919;Dania Beach;26.05231;-80.14393;31446;East Coast;City without UK name
4920;DeLand;29.02832;-81.30312;30195;East Coast;City without UK name
4921;Dunedin;28.0199;-82.77323;36164;East Coast;City without UK name
4922;East Perrine;25.60872;-80.33894;7156;East Coast;City without UK name
4924;Florida City;25.44789;-80.47922;13085;East Coast;City without UK name
4925;Fort Pierce;27.44671;-80.32561;44484;East Coast;City without UK name
4926;Hialeah;25.8576;-80.27811;237069;East Coast;City without UK name
4927;Highland City;27.9653;-81.87786;10834;East Coast;City without UK name
4928;Hill 'n Dale;28.51972;-82.29926;1934;East Coast;City without UK name
4929;Indiantown;27.02728;-80.48561;6083;East Coast;City without UK name
4930;Jacksonville;30.33218;-81.65565;949611;East Coast;City without UK name
4931;Lakes by the Bay;25.57233;-80.32533;11422;East Coast;City without UK name
4932;Lochmoor Waterway Estates;26.64424;-81.90981;4204;East Coast;City without UK name
4933;Loughman;28.24196;-81.56674;2680;East Coast;City without UK name
4934;Melrose Park;26.11342;-80.19338;7492;East Coast;City without UK name
4935;Miami;25.77427;-80.19366;441003;East Coast;City without UK name
4936;Montverde;28.60028;-81.67396;1607;East Coast;City without UK name
4937;Okeechobee;27.24393;-80.82978;5608;East Coast;City without UK name
4938;Olympia Heights;25.72677;-80.35533;13488;East Coast;City without UK name
4939;Polk City;28.18251;-81.82397;1907;East Coast;City without UK name
4940;Ponce Inlet;29.09637;-80.937;3157;East Coast;City without UK name
4941;Saint Pete Beach;27.72531;-82.74121;9346;East Coast;City without UK name
4942;Sarasota Springs;27.30894;-82.47954;14395;East Coast;City without UK name
4943;South Apopka;28.66194;-81.50952;5728;East Coast;City without UK name
4944;Tampa;27.94752;-82.45843;369075;East Coast;City without UK name
4945;Tangelo Park;28.45584;-81.4459;2231;East Coast;City without UK name
4946;The Hammocks;25.67149;-80.4445;51003;East Coast;City without UK name
4947;Villano Beach;29.93858;-81.30202;2678;East Coast;City without UK name
4948;Centerville;32.63014;-83.68963;7575;East Coast;City without UK name
4949;Chatsworth;34.76591;-84.76994;4351;East Coast;City without UK name
4950;College Park;33.65344;-84.44937;14601;East Coast;City without UK name
4951;Douglasville;33.7515;-84.74771;32897;East Coast;City without UK name
4952;Evans;33.53375;-82.13067;29011;East Coast;City without UK name
4953;Glennville;31.93659;-81.92845;5086;East Coast;City without UK name
4954;Grovetown;33.45042;-82.19818;13093;East Coast;City without UK name
4955;Lake City;33.6065;-84.3352;2727;East Coast;City without UK name
4956;Leesburg;31.73212;-84.17074;2983;East Coast;City without UK name
4957;Midway;31.80577;-81.43066;2007;East Coast;City without UK name
4958;Perry;32.45821;-83.73157;15457;East Coast;City without UK name
4959;Porterdale;33.57511;-83.8938;1483;East Coast;City without UK name
4960;Riceboro;31.73549;-81.43344;771;East Coast;City without UK name
4961;Stillmore;32.44212;-82.21512;528;East Coast;City without UK name
4962;Toccoa;34.57732;-83.33239;8283;East Coast;City without UK name
4963;Tunnel Hill;34.84063;-85.04273;877;East Coast;City without UK name
4964;Young Harris;34.93315;-83.84712;1325;East Coast;City without UK name
4981;Moores Hill;39.11339;-85.08801;587;East Coast;City without UK name
6239;Cecilia;37.6659;-85.95663;572;East Coast;City without UK name
6240;Elk Creek;38.10034;-85.37107;1539;East Coast;City without UK name
6241;Fort Wright;39.05173;-84.53411;5781;East Coast;City without UK name
6242;Georgetown;38.2098;-84.55883;32356;East Coast;City without UK name
6243;Independence;38.94312;-84.54411;26819;East Coast;City without UK name
6244;Mount Olivet;38.53146;-84.03687;346;East Coast;City without UK name
6245;Shepherdsville;37.9884;-85.71579;11967;East Coast;City without UK name
6246;Springfield;37.68534;-85.22218;3055;East Coast;City with UK name
6247;Union;38.9459;-84.6805;5795;East Coast;City without UK name
6267;Adamstown;39.31094;-77.47471;2372;East Coast;City without UK name
6268;Bowling Green;39.6237;-78.80446;1077;East Coast;City without UK name
6269;Brandywine;38.69678;-76.84775;6719;East Coast;City without UK name
6270;Chesapeake Ranch Estates;38.34624;-76.41773;10519;East Coast;City without UK name
6271;Colmar Manor;38.93317;-76.94581;1469;East Coast;City without UK name
6272;Crisfield;37.98346;-75.85382;2655;East Coast;City without UK name
6273;Derwood;39.11733;-77.16109;2381;East Coast;City without UK name
6274;Grasonville;38.95817;-76.21023;3425;East Coast;City without UK name
6275;Martins Additions;38.97928;-77.06942;933;East Coast;City without UK name
6276;Potomac;39.01817;-77.20859;44965;East Coast;City without UK name
6277;Ridgely;38.94789;-75.88438;1615;East Coast;City without UK name
6278;Thurmont;39.62371;-77.41082;6454;East Coast;City without UK name
6279;Westphalia;38.84539;-76.81108;7266;East Coast;City without UK name
6301;Ahoskie;36.28682;-76.98468;4910;East Coast;City without UK name
6302;Andrews;35.20175;-83.82407;1752;East Coast;City without UK name
6303;Atlantic Beach;34.69905;-76.74021;1502;East Coast;City without UK name
6304;Avery Creek;35.46345;-82.58262;1950;East Coast;City without UK name
6305;Bermuda Run;36.00375;-80.422;2561;East Coast;City without UK name
6306;Flat Rock;36.51236;-80.56978;1556;East Coast;City without UK name
6307;Fremont;35.54544;-77.97471;1280;East Coast;City without UK name
6308;Keener;35.10711;-78.31861;567;East Coast;City without UK name
6309;Kelly;34.46628;-78.32445;544;East Coast;City without UK name
6310;Longview;35.7293;-81.38342;4871;East Coast;City without UK name
6311;Lucama;35.64544;-78.00971;1132;East Coast;City without UK name
6312;Murfreesboro;36.44238;-77.09858;3002;East Coast;City without UK name
6313;Ocean Isle Beach;33.89434;-78.42667;597;East Coast;City without UK name
6314;Rhodhiss;35.77402;-81.4312;1048;East Coast;City without UK name
6315;Royal Pines;35.47511;-82.51595;4272;East Coast;City without UK name
6316;Sharpsburg;35.8671;-77.82915;2003;East Coast;City without UK name
6317;Snow Hill;35.45155;-77.68109;1574;East Coast;City without UK name
6318;Spiveys Corner;35.19544;-78.48723;506;East Coast;City without UK name
6319;Warsaw;34.99933;-78.0911;3175;East Coast;City without UK name
6320;Audubon Park;39.8965;-75.08767;1011;East Coast;City without UK name
6321;Elwood;39.57651;-74.71683;1437;East Coast;City without UK name
6322;Margate City;39.32789;-74.50349;6237;East Coast;City without UK name
6323;North Wildwood;39.00067;-74.79933;3901;East Coast;City without UK name
6324;Shiloh;39.459;-75.29908;505;East Coast;City without UK name
6325;Surf City;39.66206;-74.16514;1204;East Coast;City without UK name
6326;Williamstown;39.68623;-74.99517;15567;East Coast;City without UK name
6327;Dillonvale;39.21811;-84.40216;3474;East Coast;City without UK name
6328;Etna;39.95729;-82.68183;1215;East Coast;City without UK name
6329;Harbor Hills;39.93673;-82.43515;1509;East Coast;City without UK name
6330;Madeira;39.19089;-84.36355;8976;East Coast;City without UK name
6331;Mariemont;39.14506;-84.37438;3426;East Coast;City without UK name
6332;Miamitown;39.21589;-84.70411;1259;East Coast;City without UK name
6333;Northgate;39.25283;-84.59245;7377;East Coast;City without UK name
6334;Pleasant Grove;39.95201;-81.95902;1742;East Coast;City without UK name
6335;Ripley;38.74563;-83.84492;1721;East Coast;City with UK name
6336;Sabina;39.48867;-83.63687;2534;East Coast;City without UK name
6337;Thurston;39.84034;-82.54599;610;East Coast;City with UK name
6338;Trotwood;39.79728;-84.31133;24096;East Coast;City without UK name
6339;Zanesville;39.94035;-82.01319;25498;East Coast;City without UK name
6353;Caln;39.99094;-75.78022;1519;East Coast;City without UK name
6354;Eddystone;39.86011;-75.34436;2407;East Coast;City without UK name
6355;Folcroft;39.89095;-75.2838;6637;East Coast;City without UK name
6356;Glen Rock;39.79316;-76.73025;2031;East Coast;City without UK name
6357;State Line;39.72482;-77.72444;2709;East Coast;City without UK name
6358;Toughkenamon;39.8315;-75.75744;1492;East Coast;City without UK name
6359;Bishopville;34.21821;-80.24841;3274;East Coast;City without UK name
6360;Bluffton;32.23715;-80.86039;16728;East Coast;City without UK name
6361;Blythewood;34.21432;-80.97398;2782;East Coast;City without UK name
6362;Burnettown;33.51541;-81.849;2673;East Coast;City without UK name
6363;Fairforest;34.95651;-82.01011;1693;East Coast;City without UK name
6364;Forestbrook;33.72239;-78.95809;4612;East Coast;City without UK name
6365;Gray Court;34.60818;-82.11344;791;East Coast;City without UK name
6366;Harleyville;33.21461;-80.44787;694;East Coast;City without UK name
6367;Lake Wylie;35.10848;-81.04285;8841;East Coast;City without UK name
6368;Timmonsville;34.13488;-79.93979;2378;East Coast;City without UK name
6369;Wallace;34.72016;-79.84145;892;East Coast;City without UK name
6372;Dandridge;36.01537;-83.41489;2924;East Coast;City without UK name
6375;Fairmount;36.58511;-82.17097;2600;East Coast;City without UK name
6378;Hopewell;35.23479;-84.888;1874;East Coast;City without UK name
6380;Louisville;35.82175;-84.04796;4092;East Coast;City without UK name
6384;South Cleveland;35.14119;-84.87217;6912;East Coast;City without UK name
6385;Spring City;35.69201;-84.86078;1995;East Coast;City without UK name
6422;Cana;36.58958;-80.67173;1254;East Coast;City without UK name
6423;Cedar Bluff;37.08761;-81.759;1076;East Coast;City without UK name
6424;Courtland;36.71626;-77.06802;1246;East Coast;City without UK name
6425;Exmore;37.5318;-75.82299;1447;East Coast;City without UK name
6426;Fort Lee;37.4957;-77.33526;7520;East Coast;City without UK name
6427;Hanover;37.76653;-77.37026;252;East Coast;City without UK name
6428;Martinsville;36.69153;-79.87254;13645;East Coast;City without UK name
6429;Massanetta Springs;38.4004;-78.83419;4833;East Coast;City without UK name
6430;South Boston;36.69875;-78.9014;7976;East Coast;City without UK name
6431;Strasburg;38.98872;-78.35862;6586;East Coast;City without UK name
6432;Hepzibah;39.33259;-80.33537;566;East Coast;City without UK name
6433;Pinch;38.40871;-81.48179;3262;East Coast;City without UK name
6434;Saint Marys;39.39174;-81.20511;1860;East Coast;City without UK name
6435;Sutton;38.66454;-80.70982;984;East Coast;City with UK name
6436;Wayne;38.22147;-82.44237;1382;East Coast;City without UK name
6437;White Hall;39.4212;-80.18258;663;East Coast;City without UK name
6440;Dalton;44.41589;-71.69481;987;East Coast;City with UK name
6441;Rush;42.9959;-77.64556;3478;East Coast;City without UK name
6442;Kent;41.72482;-73.47707;2858;East Coast;City without UK name
6443;Oakville;41.59343;-73.08539;9047;East Coast;City without UK name
6444;Plainfield;41.67649;-71.91507;15498;East Coast;City without UK name
6506;Assonet;41.79594;-71.06782;4084;East Coast;City without UK name
6507;Dunstable;42.67509;-71.48284;2878;East Coast;City with UK name
6508;Erving;42.60009;-72.39814;1493;East Coast;City without UK name
6509;Florida;42.66675;-73.01121;688;East Coast;City without UK name
6510;Foxborough;42.06538;-71.24783;5625;East Coast;City without UK name
6511;Great Barrington;42.19592;-73.36206;2231;East Coast;City without UK name
6512;Hubbardston;42.4737;-72.00619;3977;East Coast;City without UK name
6513;Hudson;42.39176;-71.56618;14907;East Coast;City without UK name
6514;Hyannis;41.65289;-70.2828;14120;East Coast;City without UK name
6515;Malden;42.4251;-71.06616;61068;East Coast;City without UK name
6516;Middleborough;41.89316;-70.91115;23116;East Coast;City without UK name
6517;Newburyport;42.81259;-70.87728;17982;East Coast;City without UK name
6518;Norfolk;42.11954;-71.32506;10386;East Coast;City without UK name
6519;Sagamore;41.77011;-70.52836;3623;East Coast;City without UK name
6520;Sharon;42.12371;-71.17866;5658;East Coast;City without UK name
6521;Southwick;42.05482;-72.77037;9444;East Coast;City with UK name
6522;West Yarmouth;41.65011;-70.24113;6012;East Coast;City without UK name
6523;Belgrade;44.44729;-69.83255;3096;East Coast;City without UK name
6524;Bristol;43.95758;-69.50921;2749;East Coast;City with UK name
6525;Buckfield;44.28951;-70.36534;1791;East Coast;City without UK name
6526;Camden;44.2098;-69.06476;3570;East Coast;City without UK name
6527;Dexter;45.02395;-69.28977;2158;East Coast;City without UK name
6528;Freeport;43.85702;-70.10311;1485;East Coast;City without UK name
6529;Hodgdon;46.05394;-67.86668;1289;East Coast;City without UK name
6530;Livermore;44.38396;-70.24922;2190;East Coast;City without UK name
6531;Madawaska;46.88421;-67.94725;2967;East Coast;City without UK name
9460;Harrington;38.92372;-75.5777;3691;East Coast;City without UK name
9461;Andrews;29.53293;-82.88169;798;East Coast;City without UK name
9462;Archer;29.52997;-82.519;1173;East Coast;City without UK name
9463;Cedar Key;29.13858;-83.03512;703;East Coast;City without UK name
9464;Celebration;28.32529;-81.53313;7427;East Coast;City without UK name
9465;Conway;28.50278;-81.33062;13467;East Coast;City without UK name
9466;Dundee;28.02252;-81.61924;4090;East Coast;City with UK name
9468;Gulf Stream;26.49368;-80.05504;836;East Coast;City without UK name
9469;Gulfport;27.74836;-82.70343;12322;East Coast;City without UK name
9470;Hawthorne;28.76138;-81.87091;1475;East Coast;City without UK name
9472;Holiday;28.18779;-82.73955;22403;East Coast;City without UK name
9473;Holly Hill;29.24359;-81.03756;11943;East Coast;City without UK name
9474;Indialantic;28.08946;-80.56561;2837;East Coast;City without UK name
